Name	cricket	literature	family	church/royalty	sports	royalty	music	politics	military	explorers
Early life of Keith Miller	0.54	0.03	0.2	0.01	0.13	0.02	0.01	0.02	0.04	0.01
Thurisind	0.01	0.03	0.19	0.68	0.01	0.01	0.01	0.01	0.04	0.01
Richard Cordray	0.01	0.02	0.1	0.01	0.09	0.01	0.01	0.73	0.01	0.01
Henry Edwards (entomologist)	0.03	0.41	0.18	0.01	0.05	0.16	0.01	0.06	0.03	0.06
Don Dunstan	0.04	0.06	0.31	0.01	0.01	0.02	0.01	0.51	0.02	0.01
Lindsay Hassett with the Australian cricket team in England in 1948	0.9	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Wesley Clark	0.01	0.03	0.26	0.01	0.03	0.01	0.01	0.26	0.37	0.01
Harmon Killebrew	0.05	0.01	0.12	0.01	0.76	0.01	0.01	0.02	0.01	0.0
Stede Bonnet	0.02	0.03	0.21	0.01	0.02	0.07	0.01	0.02	0.05	0.56
George I of Greece	0.01	0.01	0.17	0.2	0.02	0.35	0.01	0.11	0.09	0.03
Hedley Verity	0.76	0.01	0.16	0.01	0.01	0.0	0.0	0.01	0.03	0.0
Neil Hamilton Fairley	0.02	0.11	0.24	0.01	0.01	0.01	0.01	0.06	0.51	0.01
Dominik Hašek	0.01	0.01	0.13	0.01	0.78	0.01	0.02	0.02	0.01	0.01
The Smashing Pumpkins	0.01	0.03	0.22	0.01	0.01	0.01	0.69	0.01	0.01	0.01
Makinti Napanangka	0.05	0.65	0.1	0.03	0.01	0.01	0.03	0.05	0.04	0.02
Benjamin Harrison	0.0	0.02	0.17	0.01	0.01	0.04	0.01	0.7	0.02	0.03
Augustine of Canterbury	0.01	0.02	0.17	0.66	0.01	0.09	0.01	0.0	0.02	0.01
C. D. Howe	0.01	0.01	0.31	0.0	0.01	0.05	0.01	0.54	0.06	0.01
Chester A. Arthur	0.01	0.02	0.22	0.0	0.01	0.03	0.0	0.68	0.03	0.01
Thomas the Slav	0.01	0.01	0.28	0.52	0.01	0.02	0.01	0.02	0.08	0.05
Attalus I	0.02	0.01	0.23	0.57	0.02	0.02	0.0	0.02	0.06	0.05
James Joyce	0.0	0.45	0.31	0.03	0.01	0.08	0.02	0.03	0.01	0.05
David Lewis (politician)	0.01	0.05	0.27	0.01	0.02	0.04	0.01	0.55	0.03	0.02
Robert Burnell	0.02	0.01	0.16	0.04	0.02	0.63	0.01	0.08	0.03	0.01
James VI and I	0.01	0.04	0.24	0.02	0.01	0.59	0.01	0.03	0.01	0.04
Thomas Percy (Gunpowder Plot)	0.02	0.01	0.29	0.01	0.01	0.56	0.01	0.02	0.02	0.06
Gustav Mahler	0.01	0.08	0.29	0.02	0.02	0.04	0.49	0.02	0.04	0.0
Ernie Toshack with the Australian cricket team in England in 1948	0.9	0.01	0.06	0.0	0.01	0.0	0.0	0.01	0.0	0.01
Martin Bucer	0.0	0.02	0.31	0.45	0.01	0.15	0.0	0.03	0.02	0.0
Egbert of Wessex	0.01	0.01	0.12	0.79	0.01	0.05	0.01	0.01	0.01	0.0
Baldwin of Forde	0.01	0.06	0.13	0.09	0.01	0.65	0.01	0.01	0.01	0.02
Honoré de Balzac	0.01	0.49	0.33	0.02	0.01	0.06	0.03	0.02	0.01	0.03
Princess Victoria of Hesse and by Rhine	0.02	0.04	0.28	0.01	0.01	0.51	0.02	0.01	0.08	0.03
Fred Moosally	0.01	0.03	0.24	0.01	0.06	0.0	0.02	0.12	0.46	0.05
Grand Duchess Olga Alexandrovna of Russia	0.0	0.04	0.26	0.01	0.01	0.44	0.01	0.03	0.1	0.1
Ine of Wessex	0.01	0.01	0.14	0.71	0.01	0.05	0.01	0.03	0.01	0.01
Damageplan	0.02	0.02	0.24	0.02	0.03	0.01	0.54	0.03	0.03	0.06
William Goebel	0.0	0.02	0.24	0.01	0.01	0.01	0.01	0.66	0.02	0.03
Black Francis	0.01	0.05	0.17	0.01	0.01	0.03	0.67	0.01	0.01	0.04
Thomas Crisp	0.04	0.04	0.24	0.01	0.01	0.06	0.01	0.02	0.23	0.33
CM Punk	0.02	0.03	0.17	0.01	0.68	0.01	0.04	0.01	0.01	0.01
Stanley Holloway	0.03	0.46	0.14	0.01	0.04	0.07	0.14	0.03	0.06	0.02
Prince Sadruddin Aga Khan	0.01	0.32	0.16	0.07	0.01	0.12	0.01	0.16	0.04	0.08
Siward, Earl of Northumbria	0.01	0.01	0.12	0.59	0.01	0.23	0.0	0.01	0.01	0.01
Manuel I Komnenos	0.01	0.01	0.27	0.55	0.01	0.05	0.0	0.02	0.05	0.02
George B. McClellan	0.01	0.02	0.3	0.01	0.01	0.02	0.01	0.28	0.29	0.05
Nick Adenhart	0.01	0.03	0.1	0.01	0.73	0.03	0.02	0.04	0.01	0.03
Paul Kane	0.01	0.27	0.19	0.01	0.04	0.03	0.02	0.04	0.02	0.36
Thomas Cranmer	0.0	0.04	0.31	0.14	0.01	0.46	0.0	0.03	0.01	0.0
Joel Brand	0.0	0.02	0.35	0.01	0.0	0.01	0.01	0.04	0.09	0.46
Karl Aloys zu Fürstenberg	0.01	0.0	0.14	0.05	0.01	0.11	0.01	0.01	0.64	0.03
Nikita Khrushchev	0.0	0.03	0.35	0.01	0.0	0.01	0.01	0.2	0.35	0.04
William Gibson	0.01	0.51	0.28	0.01	0.03	0.01	0.1	0.02	0.01	0.02
Beorhtwulf of Mercia	0.01	0.01	0.11	0.74	0.01	0.06	0.01	0.02	0.01	0.01
Paul Collingwood	0.76	0.01	0.1	0.0	0.09	0.01	0.01	0.01	0.01	0.01
John Lerew	0.01	0.02	0.18	0.02	0.01	0.03	0.02	0.02	0.67	0.02
William McGregor (football)	0.05	0.03	0.32	0.02	0.37	0.05	0.01	0.12	0.01	0.02
Rufus Wilmot Griswold	0.01	0.5	0.31	0.01	0.01	0.07	0.02	0.04	0.01	0.02
Angus Lewis Macdonald	0.02	0.03	0.26	0.0	0.01	0.05	0.01	0.54	0.05	0.03
George F. Kennan	0.0	0.09	0.31	0.02	0.01	0.01	0.01	0.37	0.17	0.01
Judy Garland	0.02	0.41	0.25	0.01	0.06	0.03	0.16	0.02	0.03	0.01
George Jones (RAAF officer)	0.01	0.01	0.21	0.01	0.01	0.01	0.01	0.06	0.65	0.01
Thomas C. Hindman	0.01	0.02	0.2	0.01	0.01	0.04	0.01	0.35	0.1	0.25
John Calvin	0.0	0.08	0.3	0.43	0.01	0.11	0.01	0.02	0.02	0.03
Joseph Barbera	0.02	0.63	0.18	0.01	0.05	0.01	0.05	0.04	0.02	0.01
George Macaulay	0.78	0.01	0.13	0.01	0.01	0.01	0.01	0.01	0.02	0.0
William of Tyre	0.01	0.07	0.18	0.45	0.01	0.23	0.01	0.02	0.01	0.02
Trevor Linden	0.01	0.0	0.08	0.01	0.84	0.01	0.01	0.01	0.01	0.0
Peter Heywood	0.01	0.02	0.31	0.01	0.01	0.1	0.01	0.02	0.05	0.46
John Brooke-Little	0.02	0.12	0.13	0.02	0.02	0.52	0.01	0.05	0.11	0.01
Otto Becher	0.01	0.01	0.1	0.01	0.02	0.03	0.01	0.01	0.79	0.01
Frank Zappa	0.0	0.11	0.24	0.01	0.02	0.01	0.54	0.05	0.01	0.02
Alister Murdoch	0.01	0.01	0.15	0.0	0.01	0.02	0.0	0.03	0.75	0.01
Pierre Rossier	0.02	0.3	0.16	0.03	0.02	0.04	0.02	0.01	0.02	0.39
Ayumi Hamasaki	0.01	0.09	0.22	0.0	0.02	0.01	0.62	0.01	0.01	0.01
Princess Charlotte of Wales	0.01	0.03	0.41	0.0	0.01	0.5	0.01	0.01	0.01	0.01
Keith Miller with the Australian cricket team in England in 1948	0.84	0.01	0.13	0.0	0.0	0.0	0.01	0.0	0.01	0.0
Ian Craig	0.76	0.01	0.15	0.0	0.02	0.01	0.01	0.02	0.01	0.01
Donald Bradman with the Australian cricket team in England in 1948	0.83	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.01	0.0
Richard Gavin Reid	0.01	0.02	0.33	0.01	0.01	0.01	0.01	0.58	0.02	0.01
George H. D. Gossip	0.06	0.2	0.23	0.01	0.39	0.05	0.01	0.02	0.02	0.02
Harry McNish	0.02	0.04	0.35	0.01	0.02	0.04	0.01	0.02	0.02	0.48
Ronald Niel Stuart	0.01	0.03	0.22	0.01	0.03	0.05	0.01	0.02	0.5	0.12
George III of the United Kingdom	0.01	0.04	0.26	0.03	0.01	0.5	0.01	0.11	0.01	0.04
Austin Nichols	0.02	0.38	0.19	0.01	0.22	0.01	0.05	0.03	0.03	0.06
Frank McNamara (VC)	0.03	0.02	0.14	0.01	0.01	0.03	0.01	0.03	0.72	0.01
James Nesbitt	0.02	0.47	0.25	0.01	0.07	0.03	0.09	0.03	0.03	0.01
Bert Trautmann	0.08	0.02	0.25	0.01	0.43	0.02	0.01	0.03	0.12	0.02
Ethan Hawke	0.01	0.55	0.18	0.0	0.06	0.02	0.1	0.03	0.01	0.02
Harriet Bosse	0.01	0.33	0.33	0.01	0.01	0.03	0.04	0.01	0.01	0.21
Aeneas Mackintosh	0.02	0.03	0.29	0.01	0.01	0.02	0.01	0.02	0.04	0.54
Ban Ki-moon	0.01	0.04	0.21	0.01	0.03	0.01	0.01	0.48	0.11	0.1
John J. Crittenden	0.0	0.01	0.17	0.0	0.0	0.03	0.0	0.75	0.01	0.01
Robert Peake the elder	0.01	0.3	0.2	0.03	0.01	0.38	0.02	0.01	0.02	0.02
Bill O'Reilly (cricketer)	0.69	0.04	0.18	0.0	0.02	0.02	0.0	0.02	0.02	0.01
Edmund Evans	0.02	0.66	0.21	0.0	0.02	0.03	0.02	0.01	0.01	0.02
Albert, Prince Consort	0.01	0.07	0.26	0.02	0.01	0.54	0.01	0.05	0.03	0.01
Stereolab	0.02	0.05	0.17	0.01	0.01	0.01	0.69	0.02	0.01	0.01
Sex Pistols	0.01	0.06	0.32	0.01	0.01	0.02	0.52	0.02	0.01	0.02
Bill Ponsford	0.69	0.01	0.19	0.01	0.04	0.02	0.01	0.01	0.02	0.01
Richard Williams (RAAF officer)	0.03	0.02	0.18	0.0	0.02	0.02	0.01	0.05	0.66	0.01
Joseph W. Tkach	0.01	0.06	0.35	0.3	0.01	0.02	0.04	0.14	0.03	0.03
Ellis Wackett	0.02	0.02	0.16	0.01	0.01	0.02	0.01	0.05	0.69	0.02
Prince Louis of Battenberg	0.01	0.03	0.18	0.02	0.02	0.42	0.01	0.02	0.26	0.04
Valston Hancock	0.01	0.01	0.13	0.01	0.01	0.03	0.0	0.03	0.73	0.02
Caroline of Ansbach	0.01	0.03	0.26	0.02	0.01	0.63	0.01	0.01	0.01	0.02
Oswald Watt	0.05	0.03	0.2	0.01	0.01	0.07	0.01	0.04	0.57	0.02
Wilfred Rhodes	0.76	0.01	0.19	0.0	0.01	0.01	0.0	0.01	0.01	0.0
Masako Katsura	0.07	0.07	0.19	0.0	0.58	0.02	0.01	0.01	0.02	0.02
Tiridates I of Armenia	0.01	0.02	0.24	0.53	0.01	0.04	0.02	0.04	0.06	0.03
Maximian	0.01	0.01	0.22	0.61	0.01	0.02	0.0	0.02	0.06	0.04
Murray Maxwell	0.02	0.01	0.22	0.02	0.01	0.05	0.01	0.02	0.23	0.42
Preity Zinta	0.07	0.56	0.22	0.01	0.03	0.01	0.03	0.02	0.03	0.01
John Francis Jackson	0.03	0.02	0.17	0.01	0.04	0.04	0.02	0.01	0.64	0.02
Bernard Bosanquet (cricketer)	0.75	0.02	0.16	0.0	0.02	0.02	0.0	0.0	0.01	0.01
Harry Chauvel	0.02	0.02	0.14	0.01	0.01	0.06	0.0	0.03	0.7	0.02
Fridtjof Nansen	0.01	0.04	0.3	0.02	0.03	0.03	0.02	0.04	0.04	0.47
Francis Tresham	0.01	0.02	0.32	0.01	0.01	0.55	0.01	0.02	0.01	0.04
James Thomas Aubrey, Jr.	0.01	0.38	0.35	0.0	0.07	0.01	0.03	0.1	0.03	0.01
Noël Coward	0.03	0.5	0.25	0.01	0.01	0.05	0.09	0.01	0.02	0.01
Walter de Coventre	0.01	0.02	0.13	0.07	0.01	0.67	0.01	0.04	0.02	0.02
Luís Alves de Lima e Silva, Duke of Caxias	0.01	0.01	0.23	0.42	0.0	0.03	0.0	0.14	0.13	0.03
Sandy Koufax	0.02	0.03	0.16	0.01	0.74	0.01	0.01	0.01	0.01	0.01
José Paranhos, Viscount of Rio Branco	0.0	0.01	0.28	0.37	0.01	0.01	0.01	0.26	0.04	0.01
Wilfrid	0.0	0.02	0.18	0.64	0.01	0.13	0.01	0.01	0.0	0.01
Nikita Filatov	0.01	0.01	0.13	0.01	0.75	0.01	0.01	0.03	0.03	0.01
Ramón Emeterio Betances	0.0	0.06	0.25	0.04	0.01	0.01	0.01	0.09	0.01	0.51
Wiglaf of Mercia	0.01	0.01	0.12	0.8	0.01	0.03	0.01	0.01	0.01	0.01
Geoffrey (archbishop of York)	0.01	0.01	0.17	0.02	0.01	0.74	0.0	0.03	0.01	0.01
Jack Marsh	0.63	0.02	0.2	0.01	0.03	0.02	0.01	0.05	0.01	0.01
Chinua Achebe	0.01	0.47	0.33	0.02	0.01	0.02	0.02	0.06	0.02	0.04
Roger Waters	0.02	0.07	0.18	0.01	0.02	0.03	0.61	0.02	0.03	0.02
William Warelwast	0.01	0.01	0.12	0.07	0.01	0.73	0.01	0.03	0.01	0.01
John Balmer	0.04	0.01	0.13	0.01	0.02	0.02	0.02	0.02	0.72	0.01
Walter Bache	0.01	0.07	0.32	0.01	0.01	0.04	0.5	0.02	0.01	0.01
James Russell Lowell	0.01	0.48	0.3	0.01	0.02	0.07	0.01	0.09	0.01	0.01
Bob Dylan	0.01	0.13	0.22	0.01	0.02	0.01	0.54	0.03	0.01	0.02
Henry Wells (general)	0.02	0.01	0.1	0.01	0.01	0.02	0.01	0.01	0.81	0.01
Alexander of Lincoln	0.01	0.02	0.08	0.06	0.02	0.77	0.01	0.02	0.02	0.01
Abdul Karim (the Munshi)	0.01	0.05	0.36	0.0	0.01	0.46	0.0	0.03	0.01	0.07
Ernie Toshack	0.78	0.01	0.09	0.01	0.04	0.01	0.01	0.02	0.01	0.01
Damon Hill	0.04	0.01	0.16	0.01	0.68	0.02	0.03	0.01	0.02	0.01
Ælfheah of Canterbury	0.02	0.02	0.17	0.43	0.02	0.24	0.02	0.04	0.02	0.03
Mariano Rivera	0.02	0.01	0.2	0.0	0.72	0.0	0.02	0.01	0.01	0.01
Susianna Kentikian	0.01	0.02	0.17	0.03	0.63	0.01	0.03	0.02	0.06	0.02
Alcibiades	0.01	0.03	0.33	0.47	0.01	0.01	0.0	0.04	0.05	0.04
Pericles	0.01	0.02	0.33	0.49	0.01	0.01	0.0	0.09	0.02	0.01
Robert Catesby	0.01	0.02	0.33	0.01	0.0	0.54	0.01	0.02	0.01	0.06
The Turk	0.01	0.18	0.28	0.01	0.31	0.05	0.04	0.05	0.06	0.02
Cillian Murphy	0.02	0.46	0.22	0.01	0.03	0.02	0.19	0.03	0.01	0.01
W. S. Gilbert	0.03	0.48	0.28	0.01	0.0	0.07	0.09	0.02	0.01	0.01
John de Gray	0.01	0.01	0.12	0.03	0.01	0.68	0.01	0.09	0.03	0.01
William Longchamp	0.01	0.01	0.15	0.03	0.01	0.74	0.01	0.02	0.01	0.02
Wally Hammond	0.72	0.01	0.2	0.0	0.02	0.01	0.0	0.01	0.02	0.01
Zhou Tong (archer)	0.0	0.47	0.25	0.09	0.02	0.02	0.03	0.01	0.04	0.07
Huldrych Zwingli	0.0	0.04	0.3	0.5	0.01	0.03	0.02	0.07	0.03	0.01
Samuel Johnson	0.01	0.46	0.39	0.01	0.01	0.1	0.01	0.02	0.0	0.01
Charlie Macartney	0.82	0.01	0.11	0.0	0.01	0.01	0.01	0.01	0.02	0.0
Mark Kerry	0.09	0.02	0.18	0.01	0.63	0.01	0.01	0.04	0.01	0.01
Paul Nobuo Tatsuguchi	0.01	0.03	0.28	0.01	0.01	0.02	0.02	0.01	0.18	0.43
Alice in Chains	0.01	0.01	0.17	0.0	0.02	0.01	0.76	0.01	0.0	0.02
Pearl Jam	0.01	0.02	0.19	0.01	0.02	0.01	0.69	0.04	0.01	0.01
Sasha (DJ)	0.02	0.03	0.17	0.0	0.03	0.01	0.68	0.02	0.01	0.01
Ian O'Brien	0.12	0.03	0.15	0.02	0.6	0.01	0.02	0.02	0.02	0.02
Werner Mölders	0.01	0.02	0.17	0.01	0.02	0.05	0.01	0.01	0.68	0.03
Joseph Szigeti	0.0	0.12	0.34	0.02	0.01	0.01	0.42	0.02	0.02	0.02
Deusdedit of Canterbury	0.01	0.02	0.12	0.65	0.02	0.07	0.02	0.05	0.01	0.01
Ambrose Rookwood	0.01	0.02	0.3	0.02	0.01	0.54	0.02	0.01	0.02	0.07
Pham Ngoc Thao	0.0	0.01	0.26	0.01	0.01	0.01	0.01	0.09	0.08	0.53
Anna May Wong	0.01	0.6	0.24	0.01	0.03	0.02	0.04	0.01	0.01	0.03
Nancy Reagan	0.01	0.27	0.32	0.0	0.03	0.04	0.03	0.27	0.02	0.01
Steve Bruce	0.09	0.02	0.22	0.01	0.59	0.02	0.01	0.02	0.02	0.01
Clements Markham	0.01	0.1	0.22	0.02	0.01	0.08	0.0	0.05	0.08	0.44
Georges Bizet	0.01	0.14	0.28	0.02	0.02	0.07	0.42	0.01	0.01	0.02
Theoren Fleury	0.01	0.03	0.21	0.01	0.67	0.01	0.02	0.03	0.01	0.02
Jarome Iginla	0.01	0.01	0.13	0.0	0.77	0.02	0.01	0.03	0.01	0.01
Ivan Alexander of Bulgaria	0.01	0.03	0.14	0.71	0.01	0.05	0.01	0.03	0.01	0.01
Nigel (Bishop of Ely)	0.09	0.09	0.09	0.11	0.09	0.15	0.09	0.09	0.09	0.09
Teresa Cristina of the Two Sicilies	0.01	0.09	0.39	0.27	0.01	0.17	0.02	0.02	0.01	0.02
Dmitri Shostakovich	0.0	0.1	0.3	0.03	0.01	0.01	0.41	0.04	0.08	0.01
Elliott Smith	0.0	0.1	0.29	0.01	0.03	0.01	0.49	0.02	0.0	0.04
William de St-Calais	0.01	0.01	0.2	0.14	0.01	0.6	0.01	0.02	0.01	0.01
Steve Dodd	0.1	0.48	0.14	0.02	0.06	0.02	0.04	0.02	0.08	0.04
Józef Piłsudski	0.0	0.01	0.24	0.07	0.0	0.03	0.0	0.15	0.44	0.05
Diane Keaton	0.02	0.59	0.23	0.0	0.04	0.01	0.08	0.02	0.0	0.01
Peter Jeffrey (RAAF officer)	0.02	0.02	0.11	0.01	0.01	0.02	0.01	0.01	0.78	0.01
Francis Harvey	0.06	0.02	0.18	0.01	0.02	0.05	0.02	0.01	0.58	0.05
Kevin O'Halloran	0.11	0.02	0.13	0.02	0.6	0.01	0.02	0.03	0.06	0.02
John Lloyd Waddy	0.04	0.02	0.1	0.01	0.02	0.03	0.01	0.16	0.59	0.01
