src	tgt	weight.es
Religion	Education	0.0389591817978
Religion	Literature	0.0248655033466
Religion	Art	0.0134759693863
Religion	Warfare	0.0287542509477
Religion	Business	0.0109477287509
Religion	Humanities	0.0174683195235
Religion	Personal	0.0572731778863
Religion	Media	0.0289137891426
Religion	Music	0.0272439208574
Religion	Sports	0.0290303645596
Religion	Religion	0.366161671188
Religion	Royalty	0.0
Religion	Exploration	0.025462401287
Religion	Science	0.0151787748412
Religion	Politics	0.0399454849116
Religion	Law	0.0169205904477
Royalty	Education	0.0
Royalty	Literature	0.0
Royalty	Art	0.0
Royalty	Warfare	0.0
Royalty	Business	0.0
Royalty	Humanities	0.0
Royalty	Personal	0.0
Royalty	Media	0.0
Royalty	Music	0.0
Royalty	Sports	0.0
Royalty	Religion	0.0
Royalty	Royalty	0.0
Royalty	Exploration	0.0
Royalty	Science	0.0
Royalty	Politics	0.0
Royalty	Law	0.0
Exploration	Education	0.0230581307612
Exploration	Literature	0.0193608411095
Exploration	Art	0.0086401499801
Exploration	Warfare	0.0889578082189
Exploration	Business	0.0171885338706
Exploration	Humanities	0.00918292255721
Exploration	Personal	0.0423354048856
Exploration	Media	0.0208681181891
Exploration	Music	0.0195063684925
Exploration	Sports	0.0261699748109
Exploration	Religion	0.0199935367363
Exploration	Royalty	0.0
Exploration	Exploration	0.383755230721
Exploration	Science	0.0332042405373
Exploration	Politics	0.0292313170896
Exploration	Law	0.0117636034627
Science	Education	0.0466015673541
Science	Literature	0.0274239953951
Science	Art	0.011876618819
Science	Warfare	0.0232053551275
Science	Business	0.0156654499251
Science	Humanities	0.0189838510577
Science	Personal	0.0454420225789
Science	Media	0.0371595757683
Science	Music	0.0337949395435
Science	Sports	0.0352891149823
Science	Religion	0.0111402491089
Science	Royalty	0.0
Science	Exploration	0.0201042808539
Science	Science	0.404474310368
Science	Politics	0.0338933783723
Science	Law	0.00889467012983
Politics	Education	0.050272566695
Politics	Literature	0.0195225263666
Politics	Art	0.00810460718676
Politics	Warfare	0.0401425790069
Politics	Business	0.0212326527152
Politics	Humanities	0.0185744426858
Politics	Personal	0.0451820270527
Politics	Media	0.0367309933896
Politics	Music	0.0288348041054
Politics	Sports	0.0379985403779
Politics	Religion	0.0110010120951
Politics	Royalty	0.0
Politics	Exploration	0.0113564590658
Politics	Science	0.017676586061
Politics	Politics	0.374208261351
Politics	Law	0.0315549970378
Law	Education	0.0325857674113
Law	Literature	0.0185501462021
Law	Art	0.00621486162766
Law	Warfare	0.0519312595071
Law	Business	0.0258395165213
Law	Humanities	0.0145499650674
Law	Personal	0.0498528654645
Law	Media	0.0484814686986
Law	Music	0.0254113607447
Law	Sports	0.0287857220142
Law	Religion	0.00965627298936
Law	Royalty	0.0
Law	Exploration	0.0109014075
Law	Science	0.0170396286844
Law	Politics	0.0946095128688
Law	Law	0.330134519982
