src	tgt	weight.pt
Royalty	Politics	0.0416078237823
Royalty	Law	0.014200679483
Exploration	Education	0.014561402957
Exploration	Literature	0.00689466521192
Exploration	Art	0.00836927493377
Exploration	Warfare	0.0275830760265
Exploration	Business	0.0159264585099
Exploration	Humanities	0.0184201207483
Exploration	Personal	0.0406922556589
Exploration	Media	0.0395420652351
Exploration	Music	0.0279500241291
Exploration	Sports	0.0543451376589
Exploration	Religion	0.00961502662252
Exploration	Royalty	0.0225196238377
Exploration	Exploration	0.465108982351
Exploration	Science	0.0166849162781
Exploration	Politics	0.0316752719536
Exploration	Law	0.00993961060927
Science	Education	0.0420805838201
Science	Literature	0.0160069583287
Science	Art	0.0138150220519
Science	Warfare	0.0138413009135
Science	Business	0.0205198241384
Science	Humanities	0.0637124667785
Science	Personal	0.0420833648304
Science	Media	0.0508289131696
Science	Music	0.0392373937993
Science	Sports	0.0549247861246
Science	Religion	0.010422342737
Science	Royalty	0.00964896976471
Science	Exploration	0.0257886151315
Science	Science	0.330017772851
Science	Politics	0.0376861728962
Science	Law	0.00963237222491
Politics	Education	0.0293669078522
Politics	Literature	0.0127916623143
Politics	Art	0.00945823834939
Politics	Warfare	0.022921211178
Politics	Business	0.0361332089804
Politics	Humanities	0.0268981131053
Politics	Personal	0.043285315769
Politics	Media	0.044604408178
Politics	Music	0.028409503182
Politics	Sports	0.0587560197543
Politics	Religion	0.01019330984
Politics	Royalty	0.01602903156
Politics	Exploration	0.0231592186449
Politics	Science	0.00824104113224
Politics	Politics	0.363482940831
Politics	Law	0.0295549226384
Law	Education	0.0143522047576
Law	Literature	0.00948817187879
Law	Art	0.00628299318182
Law	Warfare	0.0358415485758
Law	Business	0.0300700547273
Law	Humanities	0.0232795962727
Law	Personal	0.038155621
Law	Media	0.0590988040606
Law	Music	0.0330305685152
Law	Sports	0.0445930243939
Law	Religion	0.0113850874545
Law	Royalty	0.00783950863636
Law	Exploration	0.0213039297273
Law	Science	0.00502211018182
Law	Politics	0.119652600758
Law	Law	0.319057998061
